T10,T10_T,T10_F,T10_I,L10,L10_T,L10_F,L10_I,H10,H10_T,H10_F,H10_I,SI10,SI10_T,SI10_F,SI10_I,V10,V10_T,V10_F,V10_I,SU10,SU10_T,SU10_F,SU10_I,D10,D10_T,D10_F,D10_I,AV10,AV10_T,AV10_F,AV10_I,T11,T11_T,T11_F,T11_I,L11,L11_T,L11_F,L11_I,H11,H11_T,H11_F,H11_I,SI11,SI11_T,SI11_F,SI11_I,V11,V11_T,V11_F,V11_I,SU11,SU11_T,SU11_F,SU11_I,D11,D11_T,D11_F,D11_I,AV11,AV11_T,AV11_F,AV11_I,T12,T12_T,T12_F,T12_I,L12,L12_T,L12_F,L12_I,H12,H12_T,H12_F,H12_I,SI12,SI12_T,SI12_F,SI12_I,V12,V12_T,V12_F,V12_I,SU12,SU12_T,SU12_F,SU12_I,D12,D12_T,D12_F,D12_I,AV12,AV12_T,AV12_F,AV12_I
8.6,6,8,6,9.8,9,3,2,9.8,7,6,5,9.1,7,6,8,8.5,8,5,4,9.8,9,6,5,8.9,8,5,5,9.7,8,4,2,9.8,9,3,2,9.5,8,3,2,8.8,8,5,4,9.7,6,7,6,8.1,7,5,4,9.6,9,2,2,9.8,5,7,7,9.3,7,8,7,10,9,3,2,9.7,10,1,0,10,5,7,7,9.9,5,7,8,9.8,4,8,8,10,10,3,2,10,5,7,7,9.8,10,3,4
9,7,7,4,9.8,10,2,1,9.5,8,7,6,9.5,6,7,7,9,7,5,4,9.3,6,7,3,9.5,5,8,8,9.9,9,3,4,10,9,6,2,10,10,2,1,9.5,8,5,3,9.5,7,6,7,8.8,9,4,4,8.8,4,8,6,9.4,8,7,8,9.8,9,4,5,9.9,10,1,0,9.7,10,3,3,9.7,6,7,6,9.6,7,8,9,8.6,9,6,5,9.7,8,2,2,9.8,7,7,7,9.7,8,5,4
